,weight
AECI,0.040879233346679714
ATEL,0.050592864483638186
BATA,0.0560204312301291
BATZ,0.044304405470965307
CCHZ,0.055050325231712834
CECZ,0.02749592171917478
CHIL,0.010789332905511205
FQMZ,0.02446112158742738
INVE,0.04669470544343261
MAFS,0.050669571643829944
NATB,0.06056271415042088
PMDZ,0.053533790070281174
PUMA,0.03423735354855492
REIZ,0.019435708802942864
SCBL,0.033193863394861356
SHOP,0.05500526090276789
ZABR,0.04300358506461423
ZCCM,0.05157706558539897
ZFCO,0.052526692451534206
ZMBF,0.03606469284302834
ZMFA,0.05502588865479354
ZMRE,0.04557655960648358
ZNCO,0.030036330495314647
ZSUG,0.023262581366502305
